,SHIPMENT ID,CUSTOMER,DISTANCE,CASES,WEIGHT,VOLUME,SOURCE LOCATION ID,ORIGIN NAME,ORIGIN CITY,ORIGIN STATE,ORIGIN ZIP,DEST LOCATION ID,CONSIGNEE NAME,DEST CITY,DEST STATE,DEST ZIP,ACTUAL CARRIER,ACTUAL MODE,ACTUAL EQUIP,LINEHAUL COSTS,FUEL COSTS,ACC. COSTS,TOTAL ACTUAL COST,PU_APPT,DL_APPT,PU_ARRIVAL (X3),PU_DEPARTED (AF),DL_ARRIVAL (X1),DL_DEPARTED (D1)
0,MTNORAM.B21109M00160,-8.13096E+17,325.2,509,12479.71,5.09,-2.2884E+18,7.69125E+18,LOUISVILLE,KY,40216,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,758.67,100.81,0,859.48,4/19/2021 0:00,4/20/2021 23:00,4/19/2021 14:36,4/19/2021 14:57,4/19/2021 21:54,4/19/2021 21:15
1,MTNORAM.B21109M00164,8.24222E+18,468.47,0,23671.95,1470.5,2.30774E+18,2.50984E+18,VONORE,TN,37885,1.43602E+18,2.28612E+18,MORRIS,IL,60450,-5.70404E+18,MTNORAM.TL,MTNORAM.53DV,950,237.78,0,1187.78,4/24/2021 11:00,4/26/2021 6:30,4/24/2021 9:30,4/24/2021 12:51,4/24/2021 23:15,4/26/2021 10:27
2,MTNORAM.B21109M00168,8.24222E+18,468.47,0,4404.23,589.41,2.30774E+18,2.50984E+18,VONORE,TN,37885,9.21712E+18,-9.05468E+18,MORRIS,IL,60450,-5.70404E+18,MTNORAM.TL,MTNORAM.53DV,950,237.78,0,1187.78,4/24/2021 12:00,4/26/2021 7:30,4/24/2021 15:08,4/24/2021 16:59,4/25/2021 18:10,4/26/2021 10:14
3,MTNORAM.B21109M00169,-8.13096E+17,234.15,1441,42266.89,14.41,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,1.94546E+18,1.83827E+18,BELLEVILLE,IL,62220,4.70346E+17,MTNORAM.TL,MTNORAM.53DV,994,72.59,0,1066.59,4/29/2021 16:00,4/21/2021 0:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
4,MTNORAM.B21109M00172,-6.37921E+18,1726.48,0,17269.63,2047.31,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,-6.64393E+17,-1.81868E+18,TUALATIN,OR,97062,-4.44343E+18,MTNORAM.INTERMODAL,MTNORAM.53IM,3153.16,0,0,3153.16,4/26/2021 21:04,4/29/2021 1:04,4/26/2021 17:34,4/26/2021 17:32,NO EVENT,NO EVENT
5,MTNORAM.B21109M00173,-6.37921E+18,1183.57,0,19095,2411.04,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,6.19943E+18,-4.29903E+18,BREA,CA,92821,-4.44343E+18,MTNORAM.INTERMODAL,MTNORAM.53IM,1728.77,0,0,1728.77,4/28/2021 13:04,4/29/2021 22:04,4/25/2021 16:27,4/28/2021 9:34,NO EVENT,NO EVENT
6,MTNORAM.B21109M00174,-6.37921E+18,1741.8,0,19179,2252.44,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,-4.62985E+18,-1.01927E+18,ELK GROVE,CA,95758-7172,-4.44343E+18,MTNORAM.INTERMODAL,MTNORAM.53IM,2508.19,0,0,2508.19,4/23/2021 12:04,4/21/2021 15:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
7,MTNORAM.B21109M00176,8.24222E+18,44.8,44,32156.7,3,8.55896E+18,8.39512E+18,CARLISLE,PA,17015,-5.0399E+18,-8.83586E+18,YORK,PA,17406,-5.47872E+18,MTNORAM.TL,MTNORAM.53DV,730,17.47,0,747.47,4/23/2021 7:00,4/23/2021 9:00,4/23/2021 7:00,4/23/2021 8:00,4/23/2021 8:50,4/23/2021 10:00
8,MTNORAM.B21109M00175,8.24222E+18,834.7,27,31500,1,-3.55271E+17,3.39605E+18,ST PETERSBURG,FL,33716,2.21292E+18,2.52294E+18,RICHMOND,VA,23231,7.05396E+18,MTNORAM.TL,MTNORAM.53RF,2350,325.53,0,2675.53,4/30/2021 13:00,5/3/2021 7:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
9,MTNORAM.B21109M00177,8.24222E+18,223,36,9000,1728,7.70046E+18,-3.98798E+18,CHESWICK,PA,15024,-7.68311E+18,-4.68522E+18,YORK,PA,17406,7.40193E+18,MTNORAM.TL,MTNORAM.53DV,500,86.97,0,586.97,4/20/2021 12:00,4/21/2021 7:00,4/20/2021 13:00,4/20/2021 13:00,4/21/2021 7:00,4/21/2021 7:00
10,MTNORAM.B21109M00179,-6.37921E+18,410.45,0,2145,270.66,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,3.20262E+18,3.02307E+18,PEORIA,IL,61615-1808,8.90983E+18,MTNORAM.TL,MTNORAM.53DV,1049.2,151.28,0,1200.48,4/26/2021 15:04,4/27/2021 18:04,4/26/2021 10:47,NO EVENT,4/27/2021 7:28,4/27/2021 13:17
11,MTNORAM.B21109M00178,-6.37921E+18,488,0,8193.5,786.57,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,3.20262E+18,3.02307E+18,PEORIA,IL,61615-1808,-6.30279E+18,MTNORAM.TL,MTNORAM.53DV,883.28,151.28,0,1034.56,5/4/2021 15:05,5/5/2021 15:05,NO EVENT,NO EVENT,NO EVENT,NO EVENT
12,MTNORAM.B21109M00180,-6.37921E+18,1022.6,191,27652.3,2336.56,3.60777E+18,-2.51488E+18,INDIANAPOLIS,IN,46231,-5.90993E+18,6.4641E+18,HOUSTON,TX,77041-2645,-6.36886E+18,MTNORAM.TL,MTNORAM.53DV,1615.71,317.01,0,1932.71,4/23/2021 22:04,4/26/2021 13:04,4/23/2021 18:35,4/23/2021 19:04,4/26/2021 6:23,NO EVENT
13,MTNORAM.B21109M00181,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,5/5/2021 5:05,5/5/2021 5:05,NO EVENT,NO EVENT,NO EVENT,NO EVENT
14,MTNORAM.B21109M00181,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,5/5/2021 5:05,5/5/2021 5:05,NO EVENT,NO EVENT,NO EVENT,NO EVENT
15,MTNORAM.B21109M00182,-7.45226E+18,42.76,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,4/28/2021 15:04,4/28/2021 18:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
16,MTNORAM.B21109M00182,-7.45226E+18,42.76,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,4/28/2021 15:04,4/28/2021 18:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
17,MTNORAM.B21109M00183,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,4/30/2021 5:04,4/30/2021 5:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
18,MTNORAM.B21109M00183,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,4/30/2021 5:04,4/30/2021 5:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
19,MTNORAM.B21109M00184,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,4/29/2021 5:04,4/29/2021 5:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
20,MTNORAM.B21109M00184,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,4/29/2021 5:04,4/29/2021 5:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
21,MTNORAM.B21109M00185,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,5/6/2021 5:05,5/6/2021 5:05,NO EVENT,NO EVENT,NO EVENT,NO EVENT
22,MTNORAM.B21109M00185,-7.45226E+18,52.5,0,40500,53,-3.87014E+18,-7.89083E+18,RICE LAKE,WI,54868-2432,-1.90711E+18,-6.95892E+18,CHIPPEWA FALLS,WI,54729,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,121.8,0,0,121.8,5/6/2021 5:05,5/6/2021 5:05,NO EVENT,NO EVENT,NO EVENT,NO EVENT
23,MTNORAM.B21109M00186,-6.37921E+18,861.53,0,20128.4,2265.71,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,-3.504E+18,-4.29903E+18,TOLLESON,AZ,85353-9703,-6.5907E+18,MTNORAM.TL,MTNORAM.53DV,1508.48,313.84,0,1822.32,4/22/2021 17:04,4/27/2021 15:04,4/22/2021 12:55,4/22/2021 14:29,4/27/2021 6:06,4/27/2021 7:06
24,MTNORAM.B21109M00187,-6.37921E+18,866.96,168,24579,2197.78,3.60777E+18,-2.51488E+18,INDIANAPOLIS,IN,46231,-5.90993E+18,6.4641E+18,HOUSTON,TX,77041-2645,-6.36886E+18,MTNORAM.TL,MTNORAM.53DV,1615.71,317.01,0,1932.71,4/24/2021 18:04,4/26/2021 18:04,4/26/2021 5:08,4/24/2021 15:03,4/26/2021 9:23,4/26/2021 13:40
25,MTNORAM.B21109M00188,-6.37921E+18,372.35,0,20625,2276.8,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,-1.11993E+16,3.02307E+18,CHAMPAIGN,IL,61821,8.90983E+18,MTNORAM.TL,MTNORAM.53DV,949.16,132.28,0,1081.44,4/26/2021 15:04,4/27/2021 15:04,4/26/2021 10:48,NO EVENT,4/27/2021 7:30,4/27/2021 10:43
26,MTNORAM.B21109M00194,-6.37921E+18,388.4,7,1176,112,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,4.72599E+18,9.17207E+18,ST CHARLES,MO,63303-3043,8.55226E+17,MTNORAM.LTL,MTNORAM.53DV,286.2,40.93,0,327.13,4/19/2021 21:04,4/23/2021 16:04,4/19/2021 14:23,4/19/2021 16:20,4/23/2021 10:51,4/23/2021 11:43
27,MTNORAM.B21109M00195,-6.37921E+18,950,1,177,14.93,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,-8.98863E+18,5.3003E+17,BLAINE,MN,55449-6787,8.55226E+17,MTNORAM.LTL,MTNORAM.53DV,165.03,23.6,0,188.63,4/19/2021 21:04,4/23/2021 14:04,4/19/2021 18:37,4/19/2021 16:20,4/23/2021 9:37,4/23/2021 9:44
28,MTNORAM.B21109M00192,-6.37921E+18,724.8,1,753,85.68,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,4.24146E+18,7.5512E+18,FORESTVILLE,MD,20772,8.28555E+18,MTNORAM.LTL,MTNORAM.53DV,660.08,94.39,0,754.47,4/20/2021 23:04,4/24/2021 5:04,4/20/2021 18:37,NO EVENT,NO EVENT,NO EVENT
29,MTNORAM.B21109M00190,-6.37921E+18,196,2,198,20.14,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,3.90274E+17,-4.99885E+18,TUSCALOOSA,AL,35401-4655,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,75,10.73,0,85.73,4/19/2021 21:04,4/21/2021 17:04,4/19/2021 18:37,4/19/2021 16:37,4/21/2021 12:07,4/21/2021 12:11
30,MTNORAM.B21109M00189,-6.37921E+18,593.1,1,181,14.85,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,-8.29615E+18,-2.55426E+18,LAFAYETTE,LA,70506-2302,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,230.03,32.89,0,262.92,4/19/2021 21:04,4/23/2021 16:04,4/19/2021 18:37,4/19/2021 16:35,4/23/2021 10:50,4/23/2021 11:05
31,MTNORAM.B21109M00193,-6.37921E+18,1149.7,2,198,15.13,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,2.62445E+18,2.47678E+18,MCALLEN,TX,78501-8715,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,153.95,22.01,0,175.96,4/19/2021 21:04,4/23/2021 17:04,4/19/2021 16:12,4/19/2021 16:27,4/23/2021 11:48,4/23/2021 12:03
32,MTNORAM.B21109M00196,-6.37921E+18,714.9,1,261,17.01,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,2.36881E+18,6.2699E+18,STILLWATER,OK,74074,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,338.44,48.4,0,386.84,4/19/2021 21:04,4/21/2021 15:04,4/19/2021 18:38,4/19/2021 16:35,4/21/2021 10:38,4/21/2021 10:46
33,MTNORAM.B21109M00198,-6.37921E+18,83.3,4,648,59.42,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,2.43643E+18,-6.80798E+17,MUSCLE SHOALS,AL,35661-3553,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,75,10.73,0,85.73,4/19/2021 21:04,4/20/2021 14:04,4/19/2021 16:20,4/19/2021 16:35,4/20/2021 9:29,4/20/2021 9:50
34,MTNORAM.B21109M00200,-6.37921E+18,519.3,64,3089,518.64,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,2.33928E+18,4.01369E+18,MIDDLEBURY,IN,46540,8.55226E+17,MTNORAM.LTL,MTNORAM.53DV,106.45,15.22,0,121.67,4/20/2021 23:04,4/23/2021 15:04,4/20/2021 19:05,4/20/2021 20:30,4/23/2021 10:44,4/23/2021 11:24
35,MTNORAM.B21109M00197,-6.37921E+18,493,2,240,27.97,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,5.38608E+18,-4.01615E+18,HIGH POINT,NC,27260-8348,8.55226E+17,MTNORAM.LTL,MTNORAM.53DV,123.73,17.69,0,141.42,4/19/2021 23:04,4/22/2021 14:04,4/19/2021 18:56,4/19/2021 19:59,4/22/2021 10:45,4/22/2021 10:52
36,MTNORAM.B21109M00204,-6.37921E+18,1249.6,1,161,14.85,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,5.15555E+18,6.74376E+18,ALBUQUERQUE,NM,87107-1911,8.28555E+18,MTNORAM.LTL,MTNORAM.53DV,199.93,28.59,0,228.52,4/19/2021 23:04,4/25/2021 1:04,4/19/2021 18:53,NO EVENT,NO EVENT,NO EVENT
37,MTNORAM.B21109M00202,-6.37921E+18,2035,6,72,17.26,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,-4.52188E+18,1.7215E+18,LAKEWOOD,CA,90712-4112,3.42757E+18,MTNORAM.PARCEL,MTNORAM.53DV,1,0,0,1,4/19/2021 19:04,4/20/2021 15:04,4/19/2021 14:41,NO EVENT,NO EVENT,NO EVENT
38,MTNORAM.B21109M00199,-6.37921E+18,714.4,5,750,83.74,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,2.72606E+18,-4.4313E+18,CLEARWATER,FL,33765-1908,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,75,10.73,0,85.73,4/19/2021 21:04,4/21/2021 18:04,4/19/2021 18:38,4/19/2021 16:27,4/21/2021 14:30,4/21/2021 14:40
39,MTNORAM.B21109M00201,-6.37921E+18,693.2,1,1156,169.32,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,-3.56199E+18,8.3805E+18,LUFKIN,TX,75904,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,1038.32,148.48,0,1186.8,4/19/2021 21:04,4/23/2021 15:04,4/19/2021 18:38,4/19/2021 16:27,4/23/2021 10:06,4/23/2021 10:16
40,MTNORAM.B21109M00208,-6.37921E+18,58.4,2,260,34.83,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,3.71445E+17,-6.80798E+17,HUNTSVILLE,AL,35806-3711,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,75,10.73,0,85.73,4/19/2021 21:04,4/20/2021 13:04,4/19/2021 18:38,4/19/2021 16:35,4/20/2021 8:10,4/20/2021 8:39
41,MTNORAM.B21109M00207,-6.37921E+18,881.6,3,297,30.21,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,-2.11255E+18,1.59601E+18,AUSTIN,TX,78758-4903,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,141.18,20.19,0,161.37,4/19/2021 21:04,4/23/2021 16:04,4/19/2021 16:20,4/19/2021 16:35,4/23/2021 11:15,4/23/2021 11:20
42,MTNORAM.B21109M00206,-6.37921E+18,433.3,4,850,68.78,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,6.43201E+17,-8.16159E+18,TALLAHASSEE,FL,32303-1121,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,230.44,32.95,0,263.39,4/19/2021 21:04,4/21/2021 15:04,4/19/2021 18:38,4/19/2021 16:27,4/21/2021 11:30,4/21/2021 11:36
43,MTNORAM.B21109M00212,-6.37921E+18,1021.9,2,198,15.13,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,2.38331E+18,-5.79074E+17,CORPUS CHRISTI,TX,78405-3929,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,148.86,21.29,0,170.15,4/19/2021 21:04,4/23/2021 13:04,4/19/2021 18:39,4/19/2021 16:27,4/23/2021 8:38,4/23/2021 8:43
44,MTNORAM.B21109M00205,-6.37921E+18,545.8,8,8,0.34,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,-2.72995E+18,7.33511E+17,NILES,IL,60714-3413,3.42757E+18,MTNORAM.PARCEL,MTNORAM.53DV,1,0,0,1,4/19/2021 19:04,4/20/2021 13:04,4/19/2021 14:41,NO EVENT,NO EVENT,NO EVENT
45,MTNORAM.B21109M00209,-6.37921E+18,272.8,4,480,55.94,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,8.72294E+18,7.3734E+17,COVINGTON,GA,30014-1545,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,75,10.73,0,85.73,4/19/2021 21:04,4/21/2021 19:04,4/19/2021 18:38,4/19/2021 16:35,4/21/2021 14:45,4/21/2021 15:15
46,MTNORAM.B21109M00211,-6.37921E+18,237.1,1,753,85.68,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,5.53713E+18,-8.88531E+18,DORAVILLE,GA,30340-3148,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,299.05,42.76,0,341.81,4/19/2021 21:04,4/21/2021 17:04,4/19/2021 18:39,4/19/2021 16:27,4/21/2021 13:05,4/21/2021 13:30
47,MTNORAM.B21109M00210,-6.37921E+18,494.8,2,474,50.7,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,-2.21403E+18,5.96173E+18,WEST MONROE,LA,71291-5348,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,252.14,36.06,0,288.2,4/19/2021 21:04,4/22/2021 18:04,4/19/2021 18:38,4/19/2021 16:35,4/22/2021 13:24,4/22/2021 13:29
48,MTNORAM.B21109M00215,-6.37921E+18,642.1,2,258,20.67,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,8.98775E+18,-5.32573E+17,PEWAUKEE,WI,53072,8.55226E+17,MTNORAM.LTL,MTNORAM.53DV,137.49,19.66,0,157.15,4/19/2021 21:04,4/21/2021 18:04,4/19/2021 14:23,4/19/2021 16:20,4/21/2021 13:21,4/21/2021 13:29
49,MTNORAM.B21109M00213,-6.37921E+18,424.9,1,383,67.54,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,6.0629E+18,-4.52166E+18,GASTONIA,NC,28052-3846,8.55226E+17,MTNORAM.LTL,MTNORAM.53DV,297.74,42.58,0,340.32,4/19/2021 23:04,4/22/2021 14:04,4/19/2021 15:23,4/19/2021 16:20,4/22/2021 9:58,4/22/2021 10:13
50,MTNORAM.B21109M00214,-6.37921E+18,1199.2,10,990,100.69,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,5.54147E+18,-6.43815E+18,COLORADO SPRINGS,CO,80903-3807,8.28555E+18,MTNORAM.LTL,MTNORAM.53DV,170.5,24.38,0,194.88,4/19/2021 23:04,4/25/2021 1:04,4/19/2021 18:53,NO EVENT,NO EVENT,NO EVENT
51,MTNORAM.B21109M00216,-6.37921E+18,780.4,0,21281,2299.87,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,-5.96831E+18,1.76589E+18,PITTSBURGH,PA,15205-1839,-7.46179E+18,MTNORAM.TL,MTNORAM.53DV,1888.57,304.36,0,2192.92,4/21/2021 19:04,4/23/2021 13:04,4/21/2021 13:00,4/21/2021 15:21,4/23/2021 8:08,4/23/2021 9:51
52,MTNORAM.B21109M00217,-6.37921E+18,328.23,0,18680,2122.36,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,-3.15928E+18,3.02307E+18,LOUISVILLE,KY,40299-2440,8.90983E+18,MTNORAM.TL,MTNORAM.53DV,920.89,125.21,0,1046.1,4/26/2021 16:04,4/27/2021 18:04,4/26/2021 11:00,4/26/2021 17:33,4/27/2021 9:00,4/27/2021 14:13
53,MTNORAM.B21109M00219,-6.37921E+18,0,1,99,10.07,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,2.72606E+18,-4.4313E+18,CLEARWATER,FL,33765-1908,-7.56168E+18,MTNORAM.LTL,MTNORAM.53DV,1,0,0,1,4/19/2021 21:04,4/21/2021 18:04,4/19/2021 18:39,4/19/2021 16:35,4/21/2021 14:30,4/21/2021 14:40
54,MTNORAM.B21109M00221,-6.37921E+18,772.58,0,16612.06,2025.52,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,7.45597E+18,-4.29903E+18,TUCSON,AZ,85713-6266,-4.44343E+18,MTNORAM.INTERMODAL,MTNORAM.53IM,2233.22,0,0,2233.23,4/28/2021 13:04,4/29/2021 14:04,4/25/2021 16:50,4/28/2021 8:58,NO EVENT,NO EVENT
55,MTNORAM.B21109M00222,-6.37921E+18,485.5,0,20837,2033.36,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,3.76636E+17,3.02307E+18,ERLANGER,KY,41018-3163,-5.01736E+18,MTNORAM.TL,MTNORAM.53DV,1111.8,150.5,0,1262.3,4/22/2021 0:04,4/23/2021 16:04,4/21/2021 19:16,4/21/2021 19:48,4/23/2021 10:52,4/23/2021 10:44
56,MTNORAM.B21109M00223,-6.37921E+18,485.5,0,19213,2130.54,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,3.76636E+17,3.02307E+18,ERLANGER,KY,41018-3163,-5.01736E+18,MTNORAM.TL,MTNORAM.53DV,1111.8,150.5,0,1262.3,4/21/2021 15:04,4/23/2021 13:04,4/21/2021 11:00,4/21/2021 12:07,4/23/2021 8:15,4/23/2021 9:15
57,MTNORAM.B21109M00224,-6.37921E+18,0,1,636,69.36,1.30842E+17,5.50413E+18,LEWISBURG,TN,37091,4.53904E+18,8.74445E+18,ANAHEIM,CA,92805-6234,8.28555E+18,MTNORAM.LTL,MTNORAM.53DV,1,0,0,1,4/19/2021 23:04,4/21/2021 12:04,4/19/2021 18:53,NO EVENT,NO EVENT,NO EVENT
58,MTNORAM.B21109M00225,-8.13096E+17,1682.18,478,20029.22,4.78,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,2.10582E+18,-1.34649E+18,CHINO,CA,91710,7.05566E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1285,295.55,0,1580.55,4/21/2021 4:00,5/4/2021 8:00,4/22/2021 5:00,4/22/2021 5:30,NO EVENT,NO EVENT
59,MTNORAM.B21109M00227,-6.37921E+18,516.78,0,19874,2010.59,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,-5.61936E+18,3.02307E+18,COLUMBUS,OH,43224,8.75798E+18,MTNORAM.TL,MTNORAM.53DV,1029.84,188.17,0,1218.01,4/27/2021 15:04,4/29/2021 10:04,4/27/2021 10:00,4/27/2021 5:15,NO EVENT,NO EVENT
60,MTNORAM.B21109M00226,-6.37921E+18,516.78,0,22332,2299.51,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,-5.61936E+18,3.02307E+18,COLUMBUS,OH,43224,8.75798E+18,MTNORAM.TL,MTNORAM.53DV,1029.84,188.17,0,1218.01,4/27/2021 16:04,4/30/2021 14:04,4/27/2021 11:15,4/27/2021 11:15,NO EVENT,NO EVENT
61,MTNORAM.B21109M00228,-6.37921E+18,766.81,0,191,16.95,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,-6.75486E+18,3.37361E+18,TUCSON,AZ,85714,8.28555E+18,MTNORAM.LTL,MTNORAM.53DV,178.37,25.51,0,203.88,4/29/2021 2:04,5/2/2021 8:05,4/28/2021 21:39,NO EVENT,NO EVENT,NO EVENT
62,MTNORAM.B21109M00233,8.24222E+18,1088.9,0,72.13,4.83,3.61585E+18,-1.68032E+18,YORK,PA,17406,3.85638E+18,-7.81234E+18,EDGERTON,KS,66021,2.66268E+18,MTNORAM.PARCEL,MTNORAM.53DV,72.13,0,0,72.13,4/20/2021 19:04,4/22/2021 1:04,4/20/2021 15:40,NO EVENT,NO EVENT,NO EVENT
63,MTNORAM.B21109M00232,8.24222E+18,83.3,0,2862.17,115.01,3.61585E+18,-1.68032E+18,YORK,PA,17406,-3.36082E+18,-3.05395E+18,PEDRICKTOWN,NJ,8067,-4.52962E+18,MTNORAM.LTL,MTNORAM.53DV,248.78,30.85,0,279.63,4/20/2021 15:04,4/23/2021 16:04,4/20/2021 11:50,4/20/2021 12:28,4/23/2021 11:22,4/23/2021 12:51
64,MTNORAM.B21109M00231,8.24222E+18,988.9,0,417.9,18.07,3.61585E+18,-1.68032E+18,YORK,PA,17406,1.14271E+18,-2.99689E+18,DAVENPORT,FL,33897,-4.52962E+18,MTNORAM.LTL,MTNORAM.53DV,138.78,17.21,0,155.99,4/20/2021 15:04,4/23/2021 19:04,4/20/2021 11:50,4/20/2021 12:30,4/23/2021 15:00,4/23/2021 15:01
65,MTNORAM.B21109M00229,8.24222E+18,853.1,0,32.54,3.55,3.61585E+18,-1.68032E+18,YORK,PA,17406,7.45308E+18,-4.3059E+18,MOUNT STERLING,IL,62353,-4.52962E+18,MTNORAM.LTL,MTNORAM.53DV,103.25,12.8,0,116.05,4/20/2021 15:04,4/23/2021 19:04,4/20/2021 11:50,4/20/2021 11:50,4/23/2021 13:26,4/23/2021 14:17
